Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit 2013-2020,Antal karakterer 2013-2020
Stoholm Skole,3.4696634731,3.5813070115,3.6542145556,3.5813070115,3.1795379732,6.7812749004,251.0
Stokkebækskolen,3.698335,3.7562933333,3.9088639139,3.7562933333,3.2253250562,7.1426578073,301.0
Stokkemarke Friskole,,,,,,6.4235714286,14.0
Stolpedalsskolen,3.757455767,3.8804843617,3.7977346262,3.8804843617,3.2183190316,8.3878947368,475.0
Store Andst Efterskole,,,,,,4.4974375,160.0
Store Heddinge Skole,3.5471911661,3.5375023546,3.6172542692,3.5375023546,3.1004972154,6.5979227053,414.0
Store Magleby Skole Kirkevej,,,,,,7.6871428571,77.0
Store Magleby Skole Vierdiget,,,,,,8.168,70.0
Stormarkskolen,3.6185445935,3.6507303858,3.6810089021,3.6507303858,3.2824825833,6.1073350254,394.0
Strandgårdskolen,3.6524508902,3.7823502561,3.7105263117,3.7823502561,3.4022644106,5.7563953488,258.0
Strandmølleskolen,,,,,,7.9800595238,168.0
Strandskolen,,,,,,7.846343852,919.0
Strandvejsskolen,3.3779489389,3.7168886692,3.7104086782,3.7168886692,3.0176241149,7.3374846626,326.0
Strib Idrætsefterskole,,,,,,7.3530769231,26.0
Strib Skole,3.7389013466,3.7845579886,3.8399810028,3.7845579886,3.2160181318,7.7188110403,471.0
Struer Friskole,,,,,,6.8084444444,45.0
Struer Kommunale Ungdomsskole,,,,,,5.2911111111,9.0
Struer Østre Skole,,,,,,6.5406632653,196.0
Strøbyskolen,3.67577136,3.7524828188,3.8196078376,3.7524828188,3.1448726651,7.199373814,527.0
Stubbekøbing Skole,3.6020660076,3.5314573817,3.6456742901,3.5314573817,3.3246088168,6.4930392157,204.0
Stubbæk Skole,3.7361862009,3.660626243,3.9310747617,3.660626243,3.3058073364,7.2077948718,195.0
Studsgård Friskole,,,,,,6.8692592593,54.0
Suldrup Skole,3.6775109615,3.6235788306,3.6364468846,3.6235788306,3.1528229071,6.7502380952,168.0
Sulsted Skole,3.6512356257,3.5613770877,3.9245097941,3.5613770877,3.2412555439,6.8454754098,305.0
Sundbyøster Skole,3.6340409018,3.6824775864,3.7306910427,3.6824775864,3.2980977073,5.2701886792,53.0
Sundeved Efterskole,,,,,,7.0090368852,488.0
Sunds-Ilskov Skole,3.6193897281,3.6230246737,3.7631712249,3.6230246737,3.1981365408,7.2733870968,62.0
"Sunds-Ilskov Skole, Sunds",,,,,,7.3400817996,489.0
SUNDskolen,3.4965422852,3.6682969,3.7003424623,3.6682969,3.2134889379,6.8002298851,348.0
"Susåskolen,  afd. Herlufmagle",3.6493123837,3.7739471744,3.9118216977,3.7739471744,3.5503871977,6.6629457364,129.0
"Susåskolen, afd. Glumsø",3.6118142017,3.6286763855,3.757204611,3.6286763855,3.0029172861,7.0785077951,449.0
"Susåskolen, afd. Holsted",3.7231010182,3.8192921303,3.9799898632,3.8192921303,3.3350481064,7.6639,500.0
Svaneke Friskole,,,,,,7.1197674419,43.0
Svanevej Privatskole,,,,,,5.450952381,42.0
Svankjær Efterskole,,,,,,5.8544,75.0
Svebølle Skole,3.5267481761,3.4409995094,3.6912997862,3.4409995094,3.2380648553,5.5792814371,167.0
"Svend Gønge-Skolen, Lundby",3.5273950559,3.5390145531,3.504655486,3.5390145531,3.1577042472,6.401796875,256.0
Svendborg Efterskole,,,,,,6.2838554217,166.0
Svenstrup Efterskole,,,,,,7.9439534884,172.0
Svenstrup Friskole,,,,,,6.6511111111,18.0
Svenstrup Skole,3.574898226,3.7708046894,3.7098976075,3.7708046894,3.2206074471,7.8287423313,326.0
Svindinge Friskole,,,,,,7.0675362319,69.0
"Svinninge Skole, område Katrinedal",3.3630730942,3.4162022474,3.3823784688,3.4162022474,2.8522558901,6.239,390.0
Sværdborg Friskole,,,,,,6.9825,12.0
Sydbornholms Privatskole,,,,,,7.0,64.0
Syddjurs Friskole,,,,,,7.8571028037,107.0
Sydfalster Skole,3.4988067724,3.6088358374,3.7845528455,3.6088358374,3.1686987724,6.466,205.0
Sydkystens Privatskole,,,,,,8.5326271186,118.0
Sydvestjyllands Efterskole,,,,,,7.6809129512,471.0
Sydvestmors Friskole,,,,,,5.6876190476,63.0
Syvstjerneskolen,3.7458506675,3.8025223792,3.8419913377,3.8025223792,3.2920218364,8.1047058824,425.0
Sæby-Hallenslev Friskole,,,,,,7.1414492754,69.0
Sædding Efterskole,,,,,,7.5369651741,201.0
Særslev-Hårslev-Skolen,3.642873971,3.5741256331,3.6371158298,3.5741256331,3.2869297376,6.4628823529,170.0
Søagerskolen,3.5177231366,3.7585416897,3.8448275813,3.7585416897,3.1604355423,7.8026204819,332.0
Søborg Privatskole,,,,,,7.4550649351,154.0
Søborg Skole,3.4849766301,3.7063980627,3.646551721,3.7063980627,3.0632938549,7.7596686747,332.0
Sødalskolen,,,,,,6.7500280899,356.0
Søgård Friskole,,,,,,7.2360526316,76.0
Søhusskolen,3.516090068,3.5761568883,3.7208737864,3.5761568883,3.1135298173,7.2128392484,479.0
Søhøjskolen,3.5496938421,3.5506058272,3.6212914398,3.5506058272,3.0232883021,7.4432740214,281.0
Sølvgades Skole,3.3807182522,3.6969651726,3.6154129735,3.6969651726,3.0025596504,7.8193023256,301.0
Sølystskolen,,,,,,7.5530722892,996.0
Sønder Otting Skole,,,,,,7.1950097087,1030.0
